term,example,definition
Watercolour,n,Màu nước
Thumbtack,n,Đinh ghim
Textbook,n,Sách giáo khoa
Test Tube,n. phr,Ống nghiệm
Tape measure,n. phr,Thước dây
Stencil,n,Giấy nến
Stapler,n,Đồ dập ghim
Staple remover,n. phr,Cái gỡ ghim bấm
Set Square,n. phr,Ê-ke
Scotch Tape,n. phr,Băng dính trong suốt
Scissors,n,Kéo
Ruler,n,Thước
Ribbon,n,Ruy-băng
Protractor,n,Thước đo góc
Post-it note,n. phr,Giấy nhớ
Pin,n,"Đinh ghim, kẹp"
Pencil,n,Bút chì
Pencil Sharpener,n. phr,Đồ gọt bút chì
Pencil Case,n. phr,Hộp bút
Pen,n,Bút mực
Paper,n,Giấy
Paper fastener,n. phr,Dụng cụ kẹp giấy
Paper Clip,n. phr,Kẹp giấy
Palette,n,Bảng màu
Paint,n,"Sơn, màu"
Paintbrush,n. phr,Chổi sơn
Notebook,n,"Cuốn sổ, vở"
Map,n,Bản đồ
Magnifying Glass,n. phr,Kính lúp
Index card,n. phr,Phiếu làm mục lục
Highlighter,n,Bút đánh dấu màu
Glue,n,Keo
Globe,n,Quả địa cầu
Flash card,n. phr,Thẻ ghi nhớ
File Holder,n. phr,Tập hồ sơ
File cabinet,n. phr,Tủ đựng tài liệu
Felt pen,n. phr,Bút dạ
Rubber,n,Cục tẩy
Duster,n,Khăn lau bảng
Dossier,n,Hồ sơ
Dictionary,adj,Từ điển
Desk,n,Bàn học
Crayon,n,Bút chì màu
Computer,n,Máy tính bàn
Compass,n,Com-pa
Coloured Pencil,n. phr,Bút chì màu
Clock,n,Đồng hồ treo tường
Clamp,n,Kẹp
Chalk,n,Phấn
Chair,n,Ghế
Carbon paper,n. phr,Giấy than
Calculator,n,Máy tính cầm tay
Bookcase,n,Giá sách
Book,n,Sách
Board,n,Bảng
Blackboard,n,Bảng đen
Binder,n,"Bìa rời (báo, tạp chí)"
Beaker,n,Cốc bêse
Ballpoint pen,n,Bút bi
Bag,n,Cặp sách
Backpack,n,Ba lô
Funnel,n,Cái phễu
Brush your teeth,v. phr,Đánh răng
Buy,v,Mua
Comb the hair,v. phr,Chải đầu
Cook,v,Nấu ăn
Do exercise,v. phr,Tập thể dục
Do your homework,v. phr,Làm bài tập về nhà
Eat out,v. phr,Đi ăn ở ngoài
Feed the dog,v. phr,Cho chó ăn
Finish working,v. phr,Kết thúc công việc
Gardening,v,Làm vườn
Get dressed,v. phr,Mặc quần áo
Get up,v. phr,Thức dậy
Go home,v. phr,Về nhà
Go shopping,v. phr,Đi mua sắm
Go to bed,v. phr,Đi ngủ
Go to the movies,v. phr,Đi xem phim
Have a bath,v. phr,Đi tắm
Have a nap,v. phr,Ngủ ngắn
Have breakfast,v. phr,Ăn sáng
Have dinner,v. phr,Ăn tối
Have lunch,v. phr,Ăn trưa
Have a shower,v. phr,Tắm vòi hoa sen
Listen to music,v. phr,Nghe nhạc
Make breakfast,v. phr,Làm bữa ăn sáng
Make up,v. phr,Trang điểm
Meditation,n,Thiền
Play an instrument,v. phr,Chơi nhạc cụ
Play outside,v. phr,Đi ra ngoài chơi
Play sports,v. phr,Chơi thể thao
Play video games,v. phr,Chơi trò chơi điện tử
Read books,v. phr,Đọc sách
Read newspapers,v. phr,Đọc báo
Relax,v,Thư giãn
Set the alarm,v. phr,Đặt chuông báo thức
Shave,v,Cạo râu
Sleep,v,Ngủ
Study,v,"Học tập, nghiên cứu"
Surf the internet,v. phr,Lướt mạng
Take the rubbish out,v. phr,Đi đổ rác
Drink,v,Uống
Turn off,phrasal v,Tắt
Visit your friend,v. phr,Thăm bạn bè
Wake up,phrasal v,Tỉnh giấc
Wash your face,v. phr,Rửa mặt
Wash the dishes,v. phr,Rửa chén
Watch television,v. phr,Xem tivi
Work,v,Làm việc
Pack,v,"Bó, gói"
Paste,v,Dán
Pick,v,"Hái, nhổ"
Plant,v,Trồng
Play,v,Chơi
Point,v,Chỉ
Pour,v,"Rót, đổ"
Pull,v,"Lôi, kéo"
Push,v,"Xô, đẩy"
Rake,v,"Cào, cời"
Read,v,Đọc
Ride,v,"Đi, cưỡi"
Row,v,Chèo thuyền
Run,v,Chạy
Sail,v,Lái (thuyền buồm)
Scrub,v,"Lau, chùi, cọ rửa"
See,v,"Thấy, xem"
Set,v,"Để, đặt"
Sew,v,"May, khâu"
Shout,v,"La hét, reo hò"
Show,v,"Cho xem, cho thấy, trưng bày"
Sing,v,"Hát, hót"
Sit,v,Ngồi
Skate,v,Trượt băng
Skip,v,Nhảy
Slide,v,Trượt
Sneeze,v,Hắt hơi
Spin,v,Quay
Stand,v,Đứng
Stop,v,Ngừng
Sweep,v,Quét qua; lan ra
Swim,v,Bơi
Swing,v,Đu đưa
Take,v,"Cầm, nắm, lấy"
Talk,v,Nói chuyện
Tell,v,Nói
Throw,v,"Ném, quăng"
Tie,v,"Buộc, cột, trói"
or,Conjunction,Hoặc
which,Pronoun,"Mà, một phần của, cái nào"
one,Number/Pronoun,Một; một người
work,Noun/Verb,Công việc; làm việc
now,Adverb,Bây giờ
may,Verb,Có thể
such,Adjective,"Như vậy, như thế"
give,Verb,Cho
over,Preposition/Adverb,"Trên, hơn; quá trình kết thúc"
think,Verb,"Nghĩ, suy nghĩ"
most,Determiner/Adjective/Adverb,"Hầu hết, phần lớn; hầu hết, gần như"
even,Adverb,Thậm chí
find,Verb,Tìm
become,Verb,"Trở thành, trở nên"
here,Adverb,Ở đây
show,Verb,"Chỉ, hiển thị"
house,Noun,Nhà
both,Determiner/Conjunction,"Cả hai, cả"
between,Preposition,Giữa
need,Verb/Noun,Cần; nhu cầu
mean,Verb/Adjective,"Có nghĩa, ý nghĩa; tầm quan trọng"
call,Verb/Noun,Gọi điện thoại; cuộc gọi điện
develop,Verb,"Phát triển, phát triển"
would,Modal Verb,"Sẽ, sẽ làm (dạng quá khứ của 'will')"
all,Determiner/Pronoun/Adverb,"Tất cả, mọi người; hoàn toàn"
will,Modal Verb,Sẽ (dùng để diễn tả tương lai)
there,Adverb/Pronoun,"Có, ở đó; có một số"
say,Verb,Nói
who,Pronoun,Ai
make,Verb,"Tạo, làm"
when,Adverb/Conjunction,Khi
can,Modal Verb,Có thể
more,Adjective/Adverb,"Hơn, hơn nữa"
day,Noun,Ngày
also,Adverb,"Cũng, cũng như"
after,Preposition/Conjunction,"Sau, sau khi"
way,Noun,"Cách, lối đi"
many,Determiner/Adjective,Nhiều
must,Modal Verb,Phải
look,Verb,"Nhìn, hướng nhìn"
before,Preposition/Conjunction,"Trước, trước khi"
great,Adjective,"Lớn, tuyệt vời"
back,Adverb/Noun,"Phía sau, lưng; lưng"
under,Preposition,Dưới
last,Adjective/Noun,"Cuối cùng, cuối cùng"
right,Adjective/Adverb/Noun,"Đúng, đúng vậy; bên phải"
move,Verb/Noun,"Di chuyển, chuyển động"
thing,Noun,"Điều, sự việc"
general,Adjective/Noun,"Tổng quát, tổng thể; tướng"
school,Noun,Trường học
never,Adverb,Không bao giờ
same,Adjective/Pronoun,"Giống nhau, cùng một"
another,Determiner/Pronoun/Adjective,"Một người/khác, một cái/khác"
if,Conjunction,Nếu
no,Determiner/Adverb,Không; không có
man,Noun,Người đàn ông
out,Adverb/Preposition,"Ra ngoài; hết, hết sạch"
other,Adjective/Pronoun,Khác; người/khác
so,Adverb/Conjunction,Vì vậy; như vậy
what,Pronoun,"Gì, cái gì"
time,Noun,Thời gian
up,Adverb/Preposition,"Lên, lên trên"
go,Verb,Đi
through,Preposition/Adverb,"Qua, xuyên qua"
long,Adjective/Adverb,"Lâu, lâu dài"
where,Adverb/Pronoun,Ở đâu
much,Determiner/Adverb,Nhiều
should,Modal Verb,Nên
well,Adverb,"Tốt, khỏe mạnh"
people,Noun,"Người, mọi người"
down,Adverb/Preposition,"Xuống, xuống dưới"
own,Adjective/Pronoun,"Riêng, của riêng mình"
just,Adverb/Adjective,"Chỉ, vừa; công bằng, đúng"
begin,Verb,Bắt đầu
while,Noun/Conjunction,Khoảng thời gian; trong khi
number,Noun,"Số, con số"
part,Noun,"Phần, bộ phận"
turn,Verb/Noun,"Quay, xoay; lượt, sự xoay"
real,Adjective,"Thực sự, thật sự"
